date,close
2013-03-12,2555.61
2013-03-13,2527.49
2013-03-14,2534.27
2013-03-15,2539.87
2013-03-18,2502.49
2013-03-19,2525.1
2013-03-20,2610.17
2013-03-21,2614.99
2013-03-22,2618.31
2013-03-25,2613.1
2013-03-26,2575.05
2013-03-27,2583.53
2013-03-28,2499.3
2013-03-29,2495.08
2013-04-01,2493.19
2013-04-02,2486.39
2013-04-03,2483.55
2013-04-08,2472.3
2013-04-09,2489.43
2013-04-10,2485.31
2013-04-11,2477.88
2013-04-12,2462.11
2013-04-15,2436.82
2013-04-16,2459.59
2013-04-17,2458.47
2013-04-18,2464.85
2013-04-19,2533.83
2013-04-22,2530.67
2013-04-23,2449.47
2013-04-24,2495.58
2013-04-25,2467.88
2013-04-26,2447.31
2013-05-02,2449.64
2013-05-03,2492.91
2013-05-06,2525.98
2013-05-07,2529.94
2013-05-08,2542.8
2013-05-09,2527.79
2013-05-10,2540.84
2013-05-13,2530.77
2013-05-14,2493.34
2013-05-15,2506.93
2013-05-16,2552.71
2013-05-17,2592.05
2013-05-20,2609.61
2013-05-21,2614.85
2013-05-22,2618.03
2013-05-23,2582.85
2013-05-24,2597.23
2013-05-27,2599.59
2013-05-28,2644.36
2013-05-29,2642.56
2013-05-30,2634.32
2013-05-31,2606.43
2013-06-03,2602.62
2013-06-04,2565.67
2013-06-05,2560.54
2013-06-06,2527.84
2013-06-07,2484.16
2013-06-13,2399.94
2013-06-14,2416.77
2013-06-17,2403.84
2013-06-18,2418.75
2013-06-19,2400.76
2013-06-20,2321.47
2013-06-21,2317.39
2013-06-24,2171.21
2013-06-25,2165.42
2013-06-26,2168.3
2013-06-27,2160.74
2013-06-28,2200.64
2013-07-01,2213.32
2013-07-02,2221.98
2013-07-03,2203.83
2013-07-04,2221.98
2013-07-05,2226.85
2013-07-08,2163.62
2013-07-09,2162.67
2013-07-10,2224.06
2013-07-11,2326.69
2013-07-12,2275.37
2013-07-15,2307.3
2013-07-16,2317.85
2013-07-17,2282.84
2013-07-18,2245.33
2013-07-19,2190.48
2013-07-22,2202.19
2013-07-23,2265.84
2013-07-24,2249.15
2013-07-25,2237.68
2013-07-26,2224.01
2013-07-29,2175.97
2013-07-30,2189.39
2013-07-31,2193.02
2013-08-01,2245.36
2013-08-02,2247.26
2013-08-05,2278.33
2013-08-06,2293.64
2013-08-07,2280.62
2013-08-08,2276.78
2013-08-09,2286.01
2013-08-12,2352.79
2013-08-13,2359.07
2013-08-14,2349.08
2013-08-15,2321.58
2013-08-16,2304.14
2013-08-19,2331.43
2013-08-20,2312.47
2013-08-21,2308.59
2013-08-22,2303.93
2013-08-23,2286.93
2013-08-26,2335.62
2013-08-27,2340.88
2013-08-28,2328.06
2013-08-29,2318.31
2013-08-30,2313.91
2013-09-02,2320.34
2013-09-03,2354.5
2013-09-04,2350.7
2013-09-05,2341.74
2013-09-06,2357.78
2013-09-09,2440.61
2013-09-10,2474.89
2013-09-11,2482.89
2013-09-12,2507.46
2013-09-13,2488.9
2013-09-16,2478.39
2013-09-17,2427.32
2013-09-18,2432.51
2013-09-23,2472.29
2013-09-24,2443.89
2013-09-25,2429.03
2013-09-26,2384.44
2013-09-27,2394.97
2013-09-30,2409.04
2013-10-08,2441.81
2013-10-09,2453.58
2013-10-10,2429.32
2013-10-11,2468.51
2013-10-14,2472.54
2013-10-15,2467.52
2013-10-16,2421.37
2013-10-17,2413.33
2013-10-18,2426.05
2013-10-21,2471.32
2013-10-22,2445.89
2013-10-23,2418.49
2013-10-24,2400.51
2013-10-25,2368.56
2013-10-28,2365.95
2013-10-29,2372.05
2013-10-30,2407.47
2013-10-31,2373.72
2013-11-01,2384.96
2013-11-04,2380.45
2013-11-05,2383.77
2013-11-06,2353.57
2013-11-07,2340.55
2013-11-08,2307.95
2013-11-11,2315.89
2013-11-12,2340.0
2013-11-13,2288.12
2013-11-14,2304.5
2013-11-15,2350.73
2013-11-18,2428.9
2013-11-19,2412.16
2013-11-20,2424.85
2013-11-21,2409.99
2013-11-22,2397.96
2013-11-25,2388.63
2013-11-26,2387.42
2013-11-27,2414.48
2013-11-28,2439.53
2013-11-29,2438.94
2013-12-02,2418.79
2013-12-03,2442.78
2013-12-04,2475.14
2013-12-05,2468.2
2013-12-06,2452.29
2013-12-09,2450.87
2013-12-10,2453.32
2013-12-11,2412.76
2013-12-12,2410.01
2013-12-13,2406.64
2013-12-16,2367.92
2013-12-17,2356.38
2013-12-18,2357.23
2013-12-19,2332.41
2013-12-20,2278.14
2013-12-23,2284.6
2013-12-24,2288.25
2013-12-25,2305.11
2013-12-26,2265.33
2013-12-27,2303.48
2013-12-30,2299.46
2013-12-31,2330.03
